회원번호,아이디,비밀번호,이름,주민등록번호,전화번호
IDS00001,e5ddvxpba6ach,X5aA2Gb^fC#fsR,강아태,800909-2787048,010-5708-9657
IDS00002,tnpwv8kh2z8e0_y,Y4JbZW%Bnz5,이민도,710319-2982600,010-4867-7254
IDS00003,user123,test12,강혁,131223-4030388,010-4094-7011
IDS00004,nod8ld,g6E!H3szddi9a5X!,윤우보,761027-1305924,010-9755-2926
IDS00005,emrd5v235c,q%vZ3ZMeN#2aQ,박훈지,120527-3510873,010-9911-2826
IDS00006,qia5l,Qg2xcQEUlp2Q^,김태혁,720413-2703253,010-2193-2352
IDS00007,titt,w7aIRFP0*zE,최준예,630904-2709199,010-3539-5222
IDS00008,uptusg7,GuOTM!$f&4M2@,강현훈,740314-2308102,010-3356-2682
IDS00009,rij8al,I$M*Spp5oK,조현아,031224-4249395,010-6114-4489
IDS00010,efhs2,P@Ls0b!T5B$s9yCR,조예태,790626-2584540,010-8672-5234
IDS00011,xxo55f,D&*ThylYXxDSw7A4,최민경,940403-1828810,010-2345-6332
IDS00012,v3hxke1_l,Zy1I&Bx&BwV,윤아,800422-1236658,010-3769-4608
IDS00013,zfw9_kxjqg,ctTwZb%z0s4kBVb,김현,720807-1532800,010-0508-6826
IDS00014,ozjgqav9albv3o,CTIs5T6&C@WkZql,이연보,081126-3253892,010-7125-6962
IDS00015,a3epz,nO%x&%U6kNRt7W@,정솔지,740307-1075498,010-0570-7765
IDS00016,r0g17wlua7c4w73i,&5GhSPo^GMcq,이경태,960105-1070644,010-1738-1771
IDS00017,user,user1234,박보영,980614-1899074,010-3287-1682
IDS00018,hmwp,U%e50*3AQWYoA$Mt,정보지,690621-1139769,010-9931-6281
IDS00019,drq0jy9b,!3qgvA8&BA*!Z^,김슬영,071015-3453151,010-2824-8533
IDS00020,ma5_89t8imy,FAw#^6IftOfKl,김경혁,701008-2547744,010-3260-1736
IDS00021,ptk6eu8augydzgp,ZUshN3aq8cwZ^Afr,임윤준,140412-4582938,010-3313-0151
IDS00022,pmn5msalv,4I*2V*Dzz5HXVZ,조연,100812-3404703,010-2015-7197
IDS00023,kxqew,%RewP2^zSHH,박윤서,010617-4602462,010-1768-4772
IDS00024,hquwb5t47k4r_6d,aqP^yg6AK3Qs89L@,장경우,961106-1237021,010-9045-3481
IDS00025,pq4ouqvez18,@sorOb!Y5oRxnA,김영,630116-1810439,010-7199-1914
IDS00026,cp0yrpznxmk,@ZYGDX*f2Q7,조아민,991216-1484938,010-5419-7544
IDS00027,dw2s__tu2j3,^Jm0V@3Bnv,임지,750411-2424780,010-0107-7591
IDS00028,fg5e386,!^yRWpkre$XJ6H#,조훈아,120924-3579593,010-7637-3983
IDS00029,rxhpc18zjth5r,e*540JGlbYOCW2,이예윤,691206-1081793,010-7259-0356
IDS00030,cqr18ne3rn249jc,s7pNn#q4bciInB$,임훈우,980808-1707561,010-2052-9947
IDS00031,oiw4qx9d,27W%W^C!CB8Jy%,최지아,130604-3533720,010-8398-4327
IDS00032,vjsxeg66xr3,*Ubfwsl8&dX,강솔진,600514-2794876,010-9908-7970
IDS00033,h67777_tzjbr,o6Sb2P^#GYF2Grt,윤윤서,710619-1573852,010-4151-3828
IDS00034,lwpykxurrhnwz,xTr7k#7zAKogO,조수경,710814-1906784,010-7670-3861
IDS00035,d_ggmc2x,5^IFr%bFuw1,이도서,100903-3205884,010-0583-5413
IDS00036,he9j2nsk,RlLOX@m#et1DwdES,김솔현,921126-1980969,010-7055-9473
IDS00037,owp1dneg9a5scb,vP&q^FE$Iwu2a,김혁아,050428-4907977,010-7073-7321
IDS00038,smn_f3179,0u!G5nvRc2,정우훈,090217-3843228,010-2560-8438
IDS00039,lhrmdw,$1eBdL7!DT,조슬예,980403-1219176,010-7675-1344
IDS00040,n4s23h4_zg,lS*LFsV8wnXKv##*,정경하,010415-3665551,010-4665-7471
IDS00041,gzkt_w,M@X67T&H4K#t,장현민,610812-2444948,010-5838-3031
IDS00042,wg21xu42i,%U11!*9ooJ1eTE,최혁민,960404-2516903,010-0898-4532
IDS00043,x8bxu,%5@BaWbBBys@s,임보솔,861207-1016126,010-4511-7911
IDS00044,avvm4ixg5a327is1,5uKi8Tv%nO&E,박현도,890214-2773293,010-6322-8976
IDS00045,va5lfq_fm2_p,SwQQf8*R4Mdbe,강현지,010106-4014720,010-1308-0198
IDS00046,pue00jg5qoxzr,@xi5yF7e4cQnC,윤아예,760215-2947962,010-1665-0879
IDS00047,w5dhu0x,v6yL7a#iRQ,최수민,940823-1967503,010-4975-8438
IDS00048,hty5c5w2c1_4c2,2ze!uxyu99R,김아태,660414-1617842,010-1820-9405
IDS00049,rbhm8rj8umu7du,WEf&Xo0@RWPl9ku,박태아,691218-2304465,010-0424-6638
IDS00050,n8l0,Ad!sLI4Z%wAld7t%,박태우,690302-2583891,010-5421-5274
IDS00051,user12345,test12,최길동,0,0
IDS00053,user12,Test12121200,박길동,000111-1234567,010-1231-3123
IDS00054,admin,admin1234,관리자,0,0
IDS00055,asd123456,Aabbcc1234,홍길동,001122-3123456,010-1234-5678
IDS00056,qwert6,1234qwWE!!,예빈,000000-1234567,010-1111-9999
IDS00057,rndbs89,!zhwkdgjwekjnwk1,정구윤,000401-1021216,010-3538-7681
